name,country,city,address,websiteUrl,sourceUrl,description,feesMin,feesMax,currency,feePeriod,curricula,activities,languages
Aldenham Prep Riyadh,SA,Riyadh,"Riyadh, Al Noura, As Sahafah - Riyadh , Saudi Arabia",http://www.aldenhamprepriyadh.com,https://www.edarabia.com/aldenham-prep-riyadh-saudi-arabia/,"Aldenham Prep Riyadh is the first true international branch of Aldenham School UK, founded in 1597 under a Royal Charter granted by Queen Elizabeth I. With more than 428 years of heritage, Aldenham stands among the world’s oldest schools, celebrated for academic depth, character development, and timeless educational values. Bringing this legacy to Saudi Arabia, Aldenham Prep Riyadh operates as a fully integrated, non-franchise school, one of the few educational institutions personally invited by the Kingdom to establish and expand high-quality British education within Vision 2030’s transformation. This early invitation reflects national recognition of Aldenham’s heritage, standards, and its contribution to pioneering foreign educational investment in the Kingdom. Mission At Aldenham Education Group, our mission is to cultivate extraordinarily resilient, self-reflective, multidisciplinary thinkers and lifelong learners through a carefully choreographed education that combines unapologetic academic rigour and deep, mastery-level learning, built upon an ever-present foundation of the liberal arts, which defines our culture of all-rounded development and pastoral care that has been our bedrock since our inception in 1597. Why Parents Choose Aldenham A school that’s owned and operated by the same leadership that oversees Aldenham UK, ensuring academic standards and culture remain consistent across continents. Access to Aldenham’s Global Alumni Network, a lifelong community of accomplished graduates across business, science, sport, and the arts, connecting your child to a world of opportunity. A true British education, locally delivered and globally recognised. A community where Saudi and international students learn side by side. A nurturing environment that focuses on character, confidence, and competence. A culture of continuous improvement (Kaizen). Values and Ethos The school’s philosophy is grounded in the Aldenham Education Group ethos, defined by: Heritage and Tradition – nearly five centuries of educational excellence. Kaizen – a culture of continuous improvement. Meritocracy – recognising effort, character, and contribution. Holistic Development – developing confident, balanced children ready for life. Distinctive Strengths 1. British Academic Excellence The curriculum blends UK national expectations with the International Early Years, Primary and Middle Years framework, supported by a specialist-teacher model from Year 5 onwards. 2. Individualised Learning Small class sizes, dedicated learning support, and qualified teacher assistants ensure every child is known and supported. 3. Exceptional Co-Curricular Programme Aldenham offers one of the widest CCA programmes in Riyadh, with 95% of clubs offered free of charge and activities running daily. 4. Strong Arabic and Islamic Education The curriculum supports bilingual proficiency, Islamic values, and Saudi cultural grounding, meeting the needs of both Saudi and expatriate families. 5. Leading Standards of Safety and Wellbeing Onsite nurse and health protocols Enforced safeguarding systems Secure campus with professional security Mandatory parent and guardian ID system 6. Etiquette and Nutrition Programme A full-time nutritionist ensures balanced menus, complemented by etiquette training to build confidence and social awareness. 7. After-School Academic Care A unique, academically oriented after-school programme provides enrichment and homework support. 8. Seamless Curriculum Continuity for Relocating Families Families relocating between Aldenham schools globally experience a smooth transition with consistent curriculum standards.",46500,70000,SAR,yearly,British|UK EYFS,Sports|Arts|After School Activities,English|Arabic
King's College Riyadh,SA,Riyadh,"Al Khalidiyah, Ad Diriyah - Riyadh , Saudi Arabia",http://kingscollegeriyadh.com,https://www.edarabia.com/kings-college-riyadh-saudi-arabia/,"For over 140 years, King’s College UK has nurtured young people to grow in confidence, curiosity, and character. At King’s College Riyadh, we bring this proud British heritage to the Kingdom, blending academic excellence with a deep respect for Saudi culture and traditions. Our Diriyah campus welcomes boys and girls from Pre-School to Year 7 (ages 3–13). With small class sizes, specialist teaching from the earliest years, and a curriculum that balances academics, sport, music, and the arts, every child is encouraged to thrive. In August 2027, King’s College Riyadh will open a new, purpose-built campus in SEDRA, marking an important moment in the continued growth of our school and community. Guided by the ‘Golden Threads’ that weave through every aspect of school life of Academic Focus, Curiosity, Respect, Tolerance, Leadership, Enterprise, Endeavour and a Care for Others, our students learn to work together and achieve more — in the classroom, on the field, and beyond. At King’s Riyadh, education means more than results — it means raising confident, compassionate young people, ready for a global future.",52784,79175,SAR,yearly,British,Sports|Arts|Music,Arabic
One World International School,SA,Riyadh,"Al Muruj, Olaya St. Maan St. - Riyadh , Saudi Arabia",http://owis.org/sa/riyadh/,https://www.edarabia.com/one-world-international-school-riyadh-saudi-arabia/,"One World International School – Singapore’s leading International school in Riyadh, KSA. OWIS Riyadh is an IB PYP school offering inquiry – based American curricula designed to help your child excel in a multicultural environment. Our ambition is that your child has a promising tomorrow through inquiry-based learning with an emphasis on sports and co-curricular activities in our world-class campus. Reasons why OWIS Riyadh is perfect for your child IB PYP school underpinned by a inquiry – led American curricula Highly qualified IB trained educators – Native English speakers Experiential learning is at the core of our teaching methodology Our student community represents the rich cultural diversity and thinking palpable in the region State-of-the-art digital environment – Interactive, experiential and collaborative learning Excellent indoor and outdoor facilities – Build fitness and inculcate team spirit OWIS Riyadh campus is located at Al Muruj, Olaya St. Maan St. – Riyadh Our mission is to help students become the best version of themselves by providing them with a rigorous curriculum that can be customised to meet their own unique history and experiences. Our curriculum encourages students to think critically about their learning, to discuss their findings with their instructors and classmates and to collaborate in order to create solutions and complete projects. Our unique approach to the educational journey results in well-rounded students who are not only successful academically, but who have also developed a strength of character that will allow them to succeed on a personal level. At One World International School – Riyadh, our mission is to develop inquiring, compassionate, reflective lifelong learners who respect all cultures and care for our world. We believe every child should have equitable access to best-in-class future-proofed education. Every day at OWIS, we take heart in the exemplary behaviour of our students, which shows our progress in this mission. We praise the way our youngest learners help their teachers with small acts of kindness or in their excitement when they learn something new within classrooms and outdoors. We applaud our primary students as they collaborate with each other in our inquiry-based approach to push the boundaries of their personal knowledge and skills. We feel immensely proud of our secondary cohort when they show the maturity of character for in-depth studies and understand the importance of balancing academics and personal pursuits and giving back to society. Academic results, while immensely important, are just one part of the big picture. Fostering a strong value system in our students that will hold them in good stead for the rest of their lives requires as much attention. All our experienced and passionate teachers focus on both these aspects at OWIS. At OWIS Riyadh we believe in educating students to be lifelong learners and well informed and productive community members who are active, engaged, and responsible citizens for both the local and global community. Our students and staff at OWIS set high standards every day, not only for academic success but also social, emotional, and behaviour success as well. Parent and community commitment is key to our success at OWIS Riyadh and we welcome your feedback and involvement throughout the school year. Our door is always open. Welcome to the OWIS Riyadh family.",36000,57000,SAR,yearly,American,Sports|Arts|After School Activities,English|Arabic|French
EtonHouse International Education KSA,SA,Riyadh,"6451 Abdullah Bin Hayawia Road, Ghirnatah - Riyadh , Saudi Arabia",http://etonhouse.edu.sa,https://www.edarabia.com/eton-house-international-education-riyadh-saudi-arabia/,"Located in Riyadh’s vibrant Al-Shuhada (Granada) district, EtonHouse International School Granada brings nearly three decades of educational excellence from Singapore to Saudi Arabia. Part of the global EtonHouse family, the school offers a personalised learning experience within a progressive K-12 pathway, enabling students to grow seamlessly from early years through to high school graduation. In the early years, children flourish under the Reggio Emilia-inspired Inquire-Think-Learn curriculum, developing curiosity, confidence, and a love for learning in thoughtfully designed, purpose-built spaces. As they advance, the internationally recognised UK International Primary Curriculum (IPC) provides a rigorous yet engaging foundation. Coupled with the globally acclaimed Singapore Math curriculum, our students develop exceptional numeracy skills through deep conceptual understanding, logical reasoning, and advanced problem-solving. After the primary years, they progress into globally respected qualifications such as the Cambridge IGCSE and International A-Levels. With bilingual immersion in English and Arabic from the earliest years and Mandarin offered as an additional language, students build strong communication skills and cultural awareness. Purpose-built facilities include a swimming pool, soccer field, specialist art and music studios, and innovation spaces. Together, they support holistic education and a rich co-curricular programme spanning sports, arts, STEM, and leadership. Our graduates leave EtonHouse not only with strong academic foundations but also with the confidence, adaptability, and global perspective to thrive in an ever-changing world.",55000,60000,SAR,yearly,British,Sports|Arts|Music|Swimming|Football|STEM Club|After School Activities,English|Arabic
Yara International School,SA,Riyadh,"Al Imam Muhammad Ibn Saud University Building, Vazir Street, Dheera Distric - Riyadh , Saudi Arabia",http://yaraschool.net,https://www.edarabia.com/yara-international-school-riyadh-saudi-arabia/,"Yara International School was started in the year 2003 with the idea of starting a school with a difference, a school which is truly innovative and genuinely child centered catering to the needs of the Indian community. The school aims to provide quality education at an affordable cost to the younger members of Indian Diaspora with emphasis on the overall development of the children. In a span of 19 years, YIS has become a name to reckon with. For an institution which started with a humble beginning of 79 students, the journey of success has been extraordinary in every sense of the word. The ascent to the top has been gradual but focused and determined. At present, our school has a strength of around 2500 students. In the past few years, YIS has scaled new heights of success on all fronts, be it academics, sports or co-curricular activities, making it one of the most sought after institutions in Riyadh, K.S.A. The school currently offers classes from Kindergarten to Grade XII. The school operates in a state-of the art campus with spacious classrooms, Kindergarten recreational area, Sports grounds, resourceful Library, well equipped Science and Math Labs, High Tech-I.T Labs, Health and Wellness club, Auditorium and above all Smart Class system across all grades. Our Vision To be a centre of excellence and best in class academic institution, that provides unparalleled learning experience for the younger generation of our community. Our Mission To shape our students into refined and responsible human beings and empowered global citizens of tomorrow. To provide personalized care, perfect learning ambiance, mentoring and coaching, foster ethics and values and embed social and environmental awareness in our children. To innovate and continually improve all our academic and operational processes resulting in benchmark performance by our students and staff To provide a state of the art and technology enabled campus that enhances the curricular and co-curricular activities of the students. The school is headed by the CEO, Mr. Khalid Al Idrees, a Saudi academician and is lead by Mrs. Aasima Saleem, Correspondent & Principal, and a seasoned academician with more than 30 years of experience in India, Middle East and in the Kingdom of Saudi Arabia. Y.I.S is actively supported by a Board of Directors consisting of eminent professionals, educationists and philanthropists with rich experience in various global corporations. Hundreds of years of collective experience of the top management team ensures a highly matured governance and management system within the institution. All strategic decisions are made by the Top Management Team. The body meets for periodic strategy workshops, as a minimum once a year during the beginning of the academic year, and conducts a detailed SWOT analysis and Lessons Learned exercise for shaping the future of the institution.",13500,13500,SAR,yearly,British|CBSE,Sports|Arts|After School Activities,Arabic
Al Kawthar International Schools,SA,Jeddah,"7983 King Abdulaziz Branch Rd, Al Mohammadiyyah - Jeddah , Saudi Arabia",http://www.alkawthar.edu.sa,https://www.edarabia.com/al-kawthar-international-schools-jeddah-saudi-arabia/,"AL Kawthar International Schools are the first private IB International Baccalaureate schools, created in 2012, in Saudi Arabia. They favor a multilingual education that ensures harmony between the varied standards of Cambridge, the national curriculum and IB programs. Our schools are therefore committed to providing students with a high quality education that emphasizes skills development, problem solving, while fostering diversity, international sensitivity, curiosity and thirst for learning and to be successful throughout their lives. KIS is now candidate for the IB Middle Years Programme (MYP) and further for the Diploma Programme (DP) at the Secondary level in both French and English. In 2018, KIS started offering the Cambridge English Program to prepare students for progression to Cambridge exams for high school and beyond. We provide excellent British Style education with an international perspective, within a safe environment, where individuals feel secure, respected, valued, happy and successful. Both sections maintain classes for boys and girls. Each has specific characteristics yet shares the unified commitment to the school’s vision, mission and values that are woven into their programs– IB program and Cambridge program for primary and lower secondary, high School levels. We offer enriching curriculum that promote students of both schools to become speakers of three languages: French, English and Arabic. KIS are licensed by the Ministry of Education of Saudi Arabia. KIS, offers a broad academic curriculum with English and French as the language of instruction, strives for academic excellence, supported by 2 co-curricular program to develop holistic learners. Students eligible for a high school diploma at KIS must, as a minimum, satisfactorily complete the requirements as outlined in BRITISH Diploma Graduation Requirements. Students entering the IB Diploma Programme will be offered the courses listed in IB Diploma Programme Courses IN FRENCH langues. Our mission at Alkawthar International Schools is to provide a learning environment through internationally recognized programs that will empower our learners to become fully engaged, reflective, and creative, so they become independent life-long learners. Our Vision is To inspire our learners to be powerful thinkers, problem-solvers and responsible citizens and empower their engagement locally and globally. Our school philosophy provides an overall framework for general and more specific whole school aims, and is the foundation from which all aspects of our school community develop. To create high standards of learning experiences for all children by providing access to all areas of the KIS Curricula. The school challenges its learners constantly to reflect and improve their skills by providing opportunities to consolidate their knowledge.",43917,43917,SAR,yearly,British|IB|French,After School Activities,English|Arabic|French
Al Noor International School,SA,Riyadh,"Al Hasi, Al Wisham - Riyadh , Saudi Arabia",http://www.alnoor.edu.sa,https://www.edarabia.com/al-noor-international-school-riyadh-saudi-arabia/,"Education can be likened to a great canvas. This year we would like our students to contribute as much as they can on the canvas of their education. In our opening speech, we appeal to the students, the parents and the teachers to value and uphold the importance of intrinsic motivation. We have no doubt that our students will indulge themselves into their education. They will make the most of the canvas of opportunity that they are offered, and they will paint the goals that they aspire to. We have no doubt that if they remain motivated in the classroom, they will achieve their goals. Their education is sound, creative and interactive. Alnoor International School, together with the parents and the students themselves, will help to make this a reality. Our staff will help the students to achieve academic, sporting, cultural and life-long learning goals. We take this opportunity to thank the teachers and administrators for their continued professionalism, excellence, and dedication. It is your motivation in the classroom that will help to create a year that promises endless opportunities. We appeal to our students today. Help yourselves! Make the most of the great educational opportunities that you have. Contribute as much as you can to the canvas of your education. Our vision is to be a leading educational institution offering the best education based on clear standards and a well-established system in response to ever-changing global needs. Our mission is to educate our students to be professionals with positive values and ensure academic growth through the support of a well-planned curriculum, diverse learning styles and strong cooperation among all stakeholders. Educating and inspiring our students, to advance their level to make them responsible, productive, and good citizens, and provide them with the necessary skills and sufficient stimulation for creative thinking, analytical criticism, effective communication, and continuous learning, all by providing a distinguished global educational environment with high measurable standards and clear and accurate curricula, It is taught by a staff with distinguished educational qualifications and competencies that achieve its goals through the participation of students, parents and the community. We believe in rapprochement and harmony between the members of our school community regardless of our cultural, civilizational and religious differences.",11000,16000,SAR,yearly,American,Arts,Arabic
Nour Al Maaref International School,SA,Riyadh,"Ibn Al Qaym, As Sulimaniyah - Riyadh , Saudi Arabia",http://www.nour-almaaref.com,https://www.edarabia.com/nour-al-maaref-international-school-jeddah-saudi-arabia/,"Nour Al Maaref International School (NIS) started in 1994 to provide quality education to all children of expatriates residing in Kingdom of Saudi Arabia.It is in school year 2008-2009, when the school offered an American Curriculum, which ensures a solid grounding in English Language, Mathematics, Science, Social Studies, Islamic Studies, Computer, Arabic, French and P.E. Nour Al Maaref reviews its vision, mission, and belief statements on an annual basis in an effort to maintain a positive, proactive and natural adaptability within our school system. The school believes that this is a trademark of a great school system. NIS understands that great schools do not suddenly remake themselves. Instead, great school systems establish a culture of wise and ongoing strategic planning, staying in step with the times while staying true to the mission and vision of the system. Prior to its vision and mission, the school has been catering a child friendly atmosphere. Consistent teacher and student consultation programs are exercised to meet the needs of the students. Also, rewarding procedures are empowered to motivate each student in learning.",13500,13500,SAR,yearly,American,Sports,English|Arabic|French
"Horizon International School, kSA",SA,Riyadh,"Abdullah Alanqari St., Al Wurud - Riyadh , Saudi Arabia",http://horizon.sch.sa/portalen/,https://www.edarabia.com/horizon-international-school-riyadh-saudi-arabia/,"We, at Horizon International School, guarantee an environment that fosters the students to acquire an excellent education, focusing on quality, taking into consideration the significance of their Arabic culture and their participation in an increasingly global society. To guarantee an environment that fosters the students to acquire an excellent education, the school staff will use a variety of approaches to achieve the following beliefs. Producing quality services and activities that participate in developing both the individual and the community. Introducing quality values and skills to our student to be global citizens. Construction a community that brings a variety of nationalities in harmony.",13500,13500,SAR,yearly,,,English|Arabic|French
Al Rowad International Schools,SA,Riyadh,"Nuzha - Riyadh , Saudi Arabia",http://www.ais.sch.sa,https://www.edarabia.com/al-rowad-international-schools-riyadh-saudi-arabia/,"It is our belief that all children deserve quality in educational opportunities. At AIS, we have high expectations and standards that students must abide to in classrooms and on our campus. Our campus promotes a safe and welcoming environment, to ensure that students have the right conditions, which inspires them to incorporate confidence, discipline, academic achievements and good islamic virtues into their developing personalities. Throughout the outstanding performance of our dedicated students, staff, active parents, and supportive community, AIS was able to achieve dramatic advancements which lead us to obtain exceptional educational partnerships. This remarkable academic collaboration partnership allows us to ensure that students are being exposed to exceptional educational standards. We encourage student’s parents to participate and attend their children’s classrooms, activities, and special occasions. We are excited to continue working with you this year and in future years. Al-Rowad International Schools is located in Riyadh, the capital city of the Kingdom of Saudi Arabia. Riyadh exhibits outstanding and modern architectural work that can compete world-wide. The city includes broad and spacious highways that sweep through the city that overlap each other in an impressive road network. Trees decorate the broad streets and avenues, which provide phenomenal aesthetics, which are amusing to the eye. The city extends to 600 square miles (1600 square kilometers) and has a population of more than 4.7 million. The name Riyadh, is derived from the Arabic word meaning a place of gardens and trees (“rawdah”). With many wadis (a former water course, now dry) in the vicinity, Riyadh has been since antiquity a fertile area set in the heartland of the Arabian Peninsula.” It is our duty at AIS to ensure that every student has the opportunity to have a healthy social and educational experience. Our Code of Conduct is designed to support and maintain our educational standards, thus, must be respected by every staff, student, and parents. Our Mission is to continuously improve the educational environment through understanding and acting on the needs and expectations of our school community. To implement advanced teaching methods and technology as well as established good practices, all of which are essential tools that enhance students’ performance. To realize the maximum potential of each student, AIS is not only dedicated to develop academic achievement, but also to nurture physical development, social skills and Islamic values.",20800,29800,SAR,yearly,British|American,Sports,Arabic
