name,country,city,address,websiteUrl,sourceUrl,description,feesMin,feesMax,currency,feePeriod,curricula,activities,languages
Aldenham Prep Riyadh,SA,Riyadh,"Al Noura, As Sahafah, Riyadh 13321 Saudi Arabia The school's life in pictures Learn more",https://www.aldenhamprepriyadh.com/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/aldenham-prep-riyadh,"Aldenham Prep Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",46500,70000,SAR,yearly,British,Football|Basketball|Swimming|Robotics|Arts|Music|Drama,English
OWIS Al Jazeera,SA,Riyadh,"Street Number 11, Al Jazeera District, Riyadh, Saudi Arabia The school's life in pictures Learn more",https://owis.org/sa/al-jazeera/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/owis-american-academy-riyadh,"OWIS Al Jazeera details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",27800,42200,SAR,yearly,American,Football|Arts|Music,English
Makers Learning School International,SA,Riyadh,"Darin, Ar Raid Riyadh 12352 Saudi Arabia Middle School and High School (Grades 6 to Grades 12) is for girls only. The school's life in pictures Learn more",https://mls.com.sa/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/makers-learning-school-international-riyadh,"Makers Learning School International details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",48300,87400,SAR,yearly,American|IB,Football|Basketball|Robotics|Arts|Coding Club,English|Arabic|French|Mandarin
SEK International School Riyadh,SA,Riyadh,Al Rabie District - Al Toq Street School campus (intersection Al Sweifieh Street) 13315 Riyadh Saudi Arabia The school's life in pictures Learn more,https://sek.sa/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/sek-international-school-riyadh,"SEK International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",35190,82225,SAR,yearly,IB,Football|Basketball|Robotics|Arts|Music|Coding Club,English
Beech Hall School Riyadh,SA,Riyadh,"4036 Al Baldah, 7490, Al Khuzama Riyadh 12581 Saudi Arabia The school's life in pictures Learn more",https://beechhallschoolriyadh.com/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/beech-hall-school-riyadh,"Beech Hall School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",48000,98000,SAR,yearly,American,Football|Basketball|Swimming|Arts|Music|Drama,English
"One World International School, Riyadh",SA,Riyadh,"Building No 2517, Al Muruj, Olaya St., Maan St., Riyadh, Saudi Arabia The school's life in pictures Learn more",https://owis.org/sa/?utm_campaign=premium+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/one-world-international-school-riyadh,"One World International School, Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",38600,64300,SAR,yearly,American|IB,Football|Basketball|Robotics|Arts|Music|Coding Club|Drama,English
Britus International Schools Al Olaya,SA,Riyadh,"Olaya District – Prince Abdul Aziz bin Musaed bin Jalawi Street, Riyadh, Saudi Arabia",https://britus.alolaya.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/britus-international-schools-al-olaya-riyadh,"Britus International Schools Al Olaya details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",20000,28000,SAR,yearly,American|IB,,English
Al Forsan International School,SA,Riyadh,"Abdulrahman Uzzam, Al Izdihar, Riyadh 12485, Saudi Arabia",https://fis.sch.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-forsan-international-school-riyadh,"Al Forsan International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",23000,34000,SAR,yearly,American|IB,Swimming,English
Al-Rissalah International School,SA,Riyadh,"Al taleem، Riyadh 12242, Saudi Arabia",http://www.alrissalah-school.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-rissalah-international-school-riyadh,"Al-Rissalah International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",10500,19000,SAR,yearly,British|American|IB,,English
Modern International School,SA,Riyadh,"Al Khalifah Al Mamun, Al Khalidiyah, Riyadh 12875, Saudi Arabia",https://misriyadh.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/modern-international-school-riyadh,"Modern International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,British|American|IB,Football|Basketball|Arts|Science Club,English
